route_ordinal,stage_ordinal,stage_id,stage_title,stage_level,stage_where,stage_combo,quest_ordinal_in_stage,route_name,route_type,route_number,route_level,minimum_level,friend_reward,friend_experience,friend_geons,friend_contribution,friend_skill_points,reward_is_approximate,items_json,monsters_json,steps_json,legacy_type,legacy_id,legacy_name,legacy_match_method,bango_que_id,bango_name,bango_level,bango_experience,bango_contribution,bango_skill_points,bango_prerequisite,bango_steps_raw,match_method,match_score,match_candidates,level_disagrees,experience_disagrees,contribution_disagrees,skill_points_disagree,status,effective_level,effective_experience,effective_contribution,effective_skill_points
72,31,s3-4,Stage 4 — Lv 54-57: Tomb Keeper grind chain begins,Lv 54-57,Pub of the Giant Bird — this NPC carries you for a while.,"Event Quest 30, 31, 32 and 33 plus Quest 56-59 all cycle through the same NPC — <b>Tomb Keeper [Gang-Man]</b> (pin 13) — stack them and grind Royal Tomb mobs together across this whole level range instead of turning in one at a time.",3,Quest 57,Quest,57,Lv 55,55,"~2,562,731 XP, 1 Contribution Point",2562731,0,1,0,true,"[""54.png""]","[""ms_m9_03.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Find 5x \""Royal Tomb Keeper’s Book\"" from Minister of the Royal Tomb""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",Quest,54,The Dead People Around The Tomb(3),route-content-and-level-to-legacy-name,60,The Dead People Around The Tomb(3),55,2562731,1,0,59,"It's the tradition that when the King died, he's buried with the ministers alive because people believe that the ministers can support the king in the other world. The ministers' spirits are in the books they wear on their heads. Eliminate them and collect 5 books to Gang-Man.|434:5",exact-normalized-name,0.829,,false,false,false,false,matched-agrees-on-parsed-fields,55,2562731,1,0
73,31,s3-4,Stage 4 — Lv 54-57: Tomb Keeper grind chain begins,Lv 54-57,Pub of the Giant Bird — this NPC carries you for a while.,"Event Quest 30, 31, 32 and 33 plus Quest 56-59 all cycle through the same NPC — <b>Tomb Keeper [Gang-Man]</b> (pin 13) — stack them and grind Royal Tomb mobs together across this whole level range instead of turning in one at a time.",4,Event Quest 30,Event,30,Lv 55,55,"3,289,241 XP",3289241,0,0,0,false,"[""eq30speed.jpg""]",[],"[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""talk"",""city"":""pub"",""pin"":""2"",""label"":""Talk""},{""type"":""action"",""text"":""Get 5x \""Speed up Medicine\""""},{""type"":""talk"",""city"":""pub"",""pin"":""2"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,55,3289241,0,0
74,31,s3-4,Stage 4 — Lv 54-57: Tomb Keeper grind chain begins,Lv 54-57,Pub of the Giant Bird — this NPC carries you for a while.,"Event Quest 30, 31, 32 and 33 plus Quest 56-59 all cycle through the same NPC — <b>Tomb Keeper [Gang-Man]</b> (pin 13) — stack them and grind Royal Tomb mobs together across this whole level range instead of turning in one at a time.",5,Event Quest 31,Event,31,Lv 55,55,"5,289,241 XP, 10x Talisman of Magic",5289241,0,0,0,false,[],"[""ms_m9_01.jpg"",""ms_m9_02.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Kill 60x Rotten Skeleton Warrior of the Royal Tomb (Sword) + 60x (Lance)""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,55,5289241,0,0
75,31,s3-4,Stage 4 — Lv 54-57: Tomb Keeper grind chain begins,Lv 54-57,Pub of the Giant Bird — this NPC carries you for a while.,"Event Quest 30, 31, 32 and 33 plus Quest 56-59 all cycle through the same NPC — <b>Tomb Keeper [Gang-Man]</b> (pin 13) — stack them and grind Royal Tomb mobs together across this whole level range instead of turning in one at a time.",6,Event Quest 32,Event,32,Lv 55,55,"12,000,000 XP, 5x Talisman of Defense, Artisan’s Fixing Tool",12000000,0,0,0,false,[],"[""ms_m9_04.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Kill 100x Maid of Honor of the Royal Tomb""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,55,12000000,0,0
76,31,s3-4,Stage 4 — Lv 54-57: Tomb Keeper grind chain begins,Lv 54-57,Pub of the Giant Bird — this NPC carries you for a while.,"Event Quest 30, 31, 32 and 33 plus Quest 56-59 all cycle through the same NPC — <b>Tomb Keeper [Gang-Man]</b> (pin 13) — stack them and grind Royal Tomb mobs together across this whole level range instead of turning in one at a time.",7,Quest 58,Quest,58,Lv 56,56,"~3,076,950 XP, 1 Contribution Point",3076950,0,1,0,true,"[""55.png""]","[""ms_m9_04.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Find 5x \""Royal Tomb Keeper’s Lute\"" from Maid of Honor of the Royal Tomb""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",Quest,55,The Dead People Around The Tomb(4),route-content-and-level-to-legacy-name,61,The Dead People Around The Tomb(4),56,3076950,1,0,60,"It's the tradition that when the King died, he's buried with the maid alive because people believe that the maids can support the king in the other world. The maids' spirits are in the lutes. Eliminate them and collect 5 lutes to Gang-Man.|435:5",exact-normalized-name,0.832,,false,false,false,false,matched-agrees-on-parsed-fields,56,3076950,1,0
77,31,s3-4,Stage 4 — Lv 54-57: Tomb Keeper grind chain begins,Lv 54-57,Pub of the Giant Bird — this NPC carries you for a while.,"Event Quest 30, 31, 32 and 33 plus Quest 56-59 all cycle through the same NPC — <b>Tomb Keeper [Gang-Man]</b> (pin 13) — stack them and grind Royal Tomb mobs together across this whole level range instead of turning in one at a time.",8,Event Quest 33,Event,33,Lv 57,57,"12,975,811 XP",12975811,0,0,0,false,[],"[""ms_m9_03.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Kill 100x Minister of the Royal Tomb""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,57,12975811,0,0
78,31,s3-4,Stage 4 — Lv 54-57: Tomb Keeper grind chain begins,Lv 54-57,Pub of the Giant Bird — this NPC carries you for a while.,"Event Quest 30, 31, 32 and 33 plus Quest 56-59 all cycle through the same NPC — <b>Tomb Keeper [Gang-Man]</b> (pin 13) — stack them and grind Royal Tomb mobs together across this whole level range instead of turning in one at a time.",9,Quest 59,Quest,59,Lv 57,57,"~3,694,082 XP, 1 Contribution Point",3694082,0,1,0,true,"[""56.png""]","[""ms_m9_06.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Find 5x \""Royal Tomb Keeper’s Sword\"" from The Royal Tomb Keeper""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",Quest,56,The Dead People Around The Tomb(5),route-content-and-level-to-legacy-name,62,The Dead People Around The Tomb(5),57,3694082,1,0,61,"It's the tradition that when the King died, he's buried with the Tomb Keepers alive because it represents that the king has the power. The spirits of the keepers are in their swords. Collect 5 of their swords to Gang-Man.|436:5",exact-normalized-name,0.837,,false,false,false,false,matched-agrees-on-parsed-fields,57,3694082,1,0
79,32,s3-5,Stage 5 — Lv 58: City of Priest opens up,Lv 58,"Pub of the Giant Bird, then City of Priest.","Event Quest 35, 36 and 37 are the same NPC (An-Hyunsoo, pin 11); Event Quest 38 switches to Sur-An (pin 9) for the combined kill. Both are in the City of Priest.",1,Quest 60,Quest,60,Lv 58,58,"~4,434,711 XP, 1 Contribution Point",4434711,0,1,0,true,"[""57.png""]","[""ms_m9_05.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Find 5x \""Royal Tomb Keeper’s Shield\"" from The Royal Tomb Keeper""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",Quest,57,The Dead People Around The Tomb(6),route-content-and-level-to-legacy-name,63,The Dead People Around The Tomb(6),58,4434711,1,0,62,"It's the tradition that when the King died, he's buried with the Tomb Keepers alive because it represents that the king has the power. The spirits of the keepers are in their shields. Collect 5 of their shields to Gang-Man.|437:5",exact-normalized-name,0.822,,false,false,false,false,matched-agrees-on-parsed-fields,58,4434711,1,0
80,32,s3-5,Stage 5 — Lv 58: City of Priest opens up,Lv 58,"Pub of the Giant Bird, then City of Priest.","Event Quest 35, 36 and 37 are the same NPC (An-Hyunsoo, pin 11); Event Quest 38 switches to Sur-An (pin 9) for the combined kill. Both are in the City of Priest.",2,Event Quest 35,Event,35,Lv 58,58,"10,000,000 XP",10000000,0,0,0,false,"[""eq35b.jpg""]",[],"[{""type"":""talk"",""city"":""cop"",""pin"":""11"",""label"":""Talk""},{""type"":""action"",""text"":""Get 5x \""Baked Mackarel in Soy Sauce\"" — cook at the Fort with 1x Mackerel fish""},{""type"":""talk"",""city"":""cop"",""pin"":""11"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,58,10000000,0,0
81,32,s3-5,Stage 5 — Lv 58: City of Priest opens up,Lv 58,"Pub of the Giant Bird, then City of Priest.","Event Quest 35, 36 and 37 are the same NPC (An-Hyunsoo, pin 11); Event Quest 38 switches to Sur-An (pin 9) for the combined kill. Both are in the City of Priest.",3,Event Quest 36,Event,36,Lv 58,58,"10,000,000 XP",10000000,0,0,0,false,[],"[""ms_m9_05.jpg"",""ms_m9_06.jpg""]","[{""type"":""talk"",""city"":""cop"",""pin"":""11"",""label"":""Talk""},{""type"":""action"",""text"":""Kill 60x The Royal Tomb Keeper (sword) + 60x (Shield)""},{""type"":""talk"",""city"":""cop"",""pin"":""11"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,58,10000000,0,0
82,32,s3-5,Stage 5 — Lv 58: City of Priest opens up,Lv 58,"Pub of the Giant Bird, then City of Priest.","Event Quest 35, 36 and 37 are the same NPC (An-Hyunsoo, pin 11); Event Quest 38 switches to Sur-An (pin 9) for the combined kill. Both are in the City of Priest.",4,Event Quest 37,Event,37,Lv 58,58,"20,835,821 XP",20835821,0,0,0,false,[],"[""ms_m9_07.jpg"",""ms_m9_08.jpg""]","[{""type"":""talk"",""city"":""cop"",""pin"":""11"",""label"":""Talk""},{""type"":""action"",""text"":""Kill 60x The Royal Tomb Keeper (Iron Hammer) + 60x (Spear)""},{""type"":""talk"",""city"":""cop"",""pin"":""11"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,58,20835821,0,0
83,32,s3-5,Stage 5 — Lv 58: City of Priest opens up,Lv 58,"Pub of the Giant Bird, then City of Priest.","Event Quest 35, 36 and 37 are the same NPC (An-Hyunsoo, pin 11); Event Quest 38 switches to Sur-An (pin 9) for the combined kill. Both are in the City of Priest.",5,Event Quest 38,Event,38,Lv 58,58,"20,000,000 XP",20000000,0,0,0,false,[],"[""ms_m9_05.jpg"",""ms_m9_06.jpg"",""ms_m9_07.jpg"",""ms_m9_08.jpg""]","[{""type"":""talk"",""city"":""cop"",""pin"":""9"",""label"":""Talk""},{""type"":""action"",""text"":""Kill 60x each: The Royal Tomb Keeper (sword), (Shield), (Iron Hammer), (Spear)""},{""type"":""talk"",""city"":""cop"",""pin"":""9"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,58,20000000,0,0
84,33,s3-6,Stage 6 — Lv 59-60: Tomb Keeper finale,Lv 59-60,Pub of the Giant Bird.,,1,Quest 61,Quest,61,Lv 59,59,"~5,323,540 XP, 1 Contribution Point",5323540,0,1,0,true,"[""58.png""]","[""ms_m9_07.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Find 5x \""Royal Tomb Keeper’s Spear\"" from The Royal Tomb Keeper""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",Quest,58,The Dead People Around The Tomb(7),route-content-and-level-to-legacy-name,64,The Dead People Around The Tomb(7),59,5323540,1,0,63,"It's the tradition that when the King died, he's buried with the Tomb Keepers alive because it represents that the king has the power. The spirits of the keepers are in their spears. Collect 5 of their spears to Gang-Man.|438:5",exact-normalized-name,0.807,,false,false,false,false,matched-agrees-on-parsed-fields,59,5323540,1,0
85,33,s3-6,Stage 6 — Lv 59-60: Tomb Keeper finale,Lv 59-60,Pub of the Giant Bird.,,2,Quest 62,Quest,62,Lv 60,60,"~6,390,210 XP, 1 Contribution Point",6390210,0,1,0,true,"[""58.png""]","[""ms_m9_08.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Find 5x \""Royal Tomb Keeper’s Iron Hammer\"" from The Royal Tomb Keeper""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",Quest,59,The Dead People Around The Tomb(8),route-content-and-level-to-legacy-name,65,The Dead People Around The Tomb(8),60,6390210,1,0,64,"It's the tradition that when the King died, he's buried with the Tomb Keepers alive because it represents that the king has the power. The spirits of the keepers are in their iron hammers. Collect 5 of their iron hammers to Gang-Man.|439:5",exact-normalized-name,0.821,,false,false,false,false,matched-agrees-on-parsed-fields,60,6390210,1,0
86,34,s3-7,Stage 7 — Lv 70: 3rd Job Change + Forest of Elements,Lv 70,Fort → City of Priest → Forest of Elements (field) → City of Priest.,"This is the big one — 3rd Job Change. The element-collection loop (imperfect elements → Hwa-Eun → altars) can be farmed at the same time as the 4 endgame drop items (D4, Highlands of Sky, D2, Emok Island), so read the whole quest before starting.",1,Event Quest 40 — 3rd Job Change,Event,40,Lv 70,70,3rd Job Change + new skills,0,0,0,0,false,"[""ev10_1.png"",""ev10_2.png"",""ev10_3.png"",""ev10_4.png"",""ev10_5.png"",""ev10_6.png"",""ev10_7.png"",""ev10_8.png"",""ev10_9.png""]",[],"[{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Talk""},{""type"":""talk"",""city"":""cop"",""pin"":""9"",""label"":""Talk""},{""type"":""field"",""label"":""Field"",""name"":""Forest of Elements — drop 10x each: element of fire, water, wood, iron, ground (can substitute \""Imperfect element of..\"" from the same mobs or from D5)""},{""type"":""talk"",""city"":""cop"",""pin"":""19"",""label"":""Talk — convert imperfects (200k each try, ~35% success rate, not guaranteed)""},{""type"":""field"",""label"":""Field"",""name"":""Carry the converted elements to the altars at every major spot in the Forest of Elements""},{""type"":""talk"",""city"":""cop"",""pin"":""9"",""label"":""Talk again""},{""type"":""field"",""label"":""Field"",""name"":""\""Monster’s Right Arm\"" from Demon Monster (D4, every floor)""},{""type"":""field"",""label"":""Field"",""name"":""\""Necklace of Evil\"" from Chief of the Traitor’s Hangout, Yoong-Gi (Highlands of Sky, Traitor Hang Out)""},{""type"":""field"",""label"":""Field"",""name"":""\""Lord’s Jaw\"" from Lord of Shadow Troop (D2)""},{""type"":""field"",""label"":""Field"",""name"":""\""Sword of the Chief Defender\"" from Twisted Demon Defender (Emok Island)""},{""type"":""talk"",""city"":""cop"",""pin"":""9"",""label"":""Turn in — 3rd Job Change with new skills""}]",Event,20,Ceremony for elements2,route-content-and-level-to-legacy-event-name,9010,[Event] Gateway to success,70,0,0,0,9008,"Go to City of Priest and find high priest Sur An and give him Jae Ga's recommendation letter.|1471:1;Find the elements from low level elemental spirits in the forest. There are 5 kinds of elements: elements of fire, water, wood, iron, and earth. Gather 20 of them each.|1461:20,1462:20,1463:20,1464:20,1465:20;Go to the altar in the Forrest of Elements. Purify the elements of fire, water, wood, iron, and earth to get purified elements.|1466:1,1467:1,1468:1,1469:1,1470:1;Collect the materials that is required. They are the 'Necklace of Evil' of the Chief of the Traitor's Hangout, second one is the 'Lord's Jaw' from the Lord of Shadow Troop's head, third one is the 'Monster's Right Arm' from the Demon Monster, and the last one is the 'Sword of the Chief Defender' which the Demon Defender uses.|1493:1,1494:1,1495:1,1496:1;Get the 'Complete E-moogy's Scale' from the Thousand Year Old E-moogy in the E-mok Island, and the 'Horn of Doggebi Lord' from the Doggebi Lord's forehead.|1497:1,1498:1",registered-route-objective-to-bango-name,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,70,0,0,0
87,34,s3-7,Stage 7 — Lv 70: 3rd Job Change + Forest of Elements,Lv 70,Fort → City of Priest → Forest of Elements (field) → City of Priest.,"This is the big one — 3rd Job Change. The element-collection loop (imperfect elements → Hwa-Eun → altars) can be farmed at the same time as the 4 endgame drop items (D4, Highlands of Sky, D2, Emok Island), so read the whole quest before starting.",2,Event Quest 41,Event,41,Lv 70,70,Access to Valley of Devah,0,0,0,0,false,"[""ev11_1.png"",""ev11_2.png"",""ev11_3.png"",""ev11_4.png"",""ev11_5.png"",""ev11_6.png"",""ev11_7.png""]",[],"[{""type"":""talk"",""city"":""forest"",""pin"":""p14"",""label"":""Talk""},{""type"":""action"",""text"":""Find Souls of Undead from higher-level spirits / MK monsters in D5: Essence of earth (F3), wood (F4), water (F6), fire (F8), iron (F9)""},{""type"":""talk"",""city"":""forest"",""pin"":""p14"",""label"":""Talk again""},{""type"":""action"",""text"":""\""The Trial of I’Lryer\"" — go to D5, find 100x \""Essence of Undead\"" (drops from all D5 mobs), and \""I’Lryer’s ring\"" from Cheios/Dunamic on F10 or Illusion of Dunamic / Illusion of Cheios on F9 (R1/R2)""},{""type"":""field"",""label"":""Field"",""name"":""Messenger of Devah [Jin-Heun] — Geum-Oh Mine, through the left gate, down the hill, keep right to the ramp""},{""type"":""action"",""text"":""Receive \""Moving Trinket\"" — grants access to Valley of Devah""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,70,0,0,0
88,35,s3-8,Stage 8 — Lv 81: skill training,Lv 81,City of Priest.,,1,Quest 63,Quest,63,Lv 81,81,Selected Mystery Skill (Passive),0,0,0,0,false,[],[],"[{""type"":""talk"",""city"":""cop"",""pin"":""10"",""label"":""Talk""},{""type"":""action"",""text"":""Click \""Receive Training\"" and pick one of 3 skills (OTP, EVA or DEF) — the skill level scales up with your character level, up to skill level 20""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,81,0,0,0
89,36,s3-9,Stage 9 — the AWAKEN trilogy,Lv 91 / 96 / 101,Narootuh (talk point) → Emok Island → Valley of Devah farming.,"All three AWAKEN quests start at the same spot: ""DEAD Hye min"", located in Narootuh between NPC 43 and the Refining Deamon Gong — there’s no numbered map pin for this one, it’s a landmark description from the source guide.",1,Event Quest — 1st AWAKEN,,,Lv 91,91,Blue Ball + access to 1st Awaken skills (S → Awaken tab),0,0,0,0,false,"[""marble.gif"",""shiny.gif""]","[""ms_m23_12.jpg"",""ms_m23_13.jpg""]","[{""type"":""field"",""label"":""Field"",""name"":""\""DEAD Hye min\"" — Narootuh, between NPC 43 and Refining Deamon Gong""},{""type"":""action"",""text"":""Kill 200x Twisted Deamon Officer of Attack + 200x Twisted Imperial Deamon Commander (Emok A9)""},{""type"":""action"",""text"":""Find 20x \""Mysterious Marble\"" + 5x \""Piece of Shining Gold\"" from Shadow of D’evah""}]",,,,no-route-type,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,91,0,0,0
90,36,s3-9,Stage 9 — the AWAKEN trilogy,Lv 91 / 96 / 101,Narootuh (talk point) → Emok Island → Valley of Devah farming.,"All three AWAKEN quests start at the same spot: ""DEAD Hye min"", located in Narootuh between NPC 43 and the Refining Deamon Gong — there’s no numbered map pin for this one, it’s a landmark description from the source guide.",2,Event Quest — 2nd AWAKEN,,,Lv 96,96,Pink Ball + access to 2nd Awaken skills (S → Awaken tab),0,0,0,0,false,"[""ingot.gif"",""gold.gif"",""marble.gif"",""shiny.gif""]",[],"[{""type"":""field"",""label"":""Field"",""name"":""\""DEAD Hye min\"" again — Narootuh""},{""type"":""action"",""text"":""Find 2x \""Gold Ingot\"" (craft with 200x Gold Coins at the Gold Master, dropped by Shadow of D’evah), 60x \""Mysterious Marble\"", 15x \""Piece of Shining Gold\""""}]",,,,no-route-type,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,96,0,0,0
91,36,s3-9,Stage 9 — the AWAKEN trilogy,Lv 91 / 96 / 101,Narootuh (talk point) → Emok Island → Valley of Devah farming.,"All three AWAKEN quests start at the same spot: ""DEAD Hye min"", located in Narootuh between NPC 43 and the Refining Deamon Gong — there’s no numbered map pin for this one, it’s a landmark description from the source guide.",3,Event Quest — 3rd AWAKEN,,,Lv 101,101,Yellow Ball + access to 3rd Awaken skills (S → Awaken tab),0,0,0,0,false,"[""ingot.gif"",""gold.gif"",""marble.gif"",""shiny.gif""]",[],"[{""type"":""field"",""label"":""Field"",""name"":""\""DEAD Hye min\"" again — Narootuh""},{""type"":""action"",""text"":""Find \""Processing Awaken Lv3\"" from D’evah Boss""},{""type"":""action"",""text"":""Find 1x \""Gold Ingot\"" (craft with 100x Gold Coins), 120x \""Mysterious Marble\"", 30x \""Piece of Shining Gold\""""}]",,,,no-route-type,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,101,0,0,0
